compas_screening_date,sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_offense_date,c_arrest_date,c_days_from_compas,c_charge_degree,is_recid,num_r_cases,r_days_from_arrest,r_offense_date,r_jail_in,r_jail_out,num_vr_cases,vr_offense_date,v_decile_score,v_screening_date,screening_date
225,Male,69,0,0,1,0,0,0,-1.0,224.0,224.0,9411.0,,1.0,F,0,,,,,,,,1,225,225
26,Male,34,0,0,3,0,0,0,-1.0,25.0,34.0,9212.0,,1.0,F,1,,,183.0,,,,158.0,1,26,26
103,Male,24,0,0,4,0,1,4,-1.0,102.0,102.0,9289.0,,1.0,F,1,,0.0,164.0,163.0,162.0,,,3,103,103
12,Male,23,0,0,8,1,0,1,,,,9198.0,,1.0,F,0,,,,,,,,6,12,12
84,Male,43,0,0,1,0,0,2,,,,,5684.0,76.0,F,0,,,,,,,,1,84,84
333,Male,44,0,0,1,0,0,0,0.0,333.0,333.0,9520.0,,0.0,M,0,,,,,,,,1,333,333
414,Male,41,1,0,6,0,0,14,-1.0,413.0,418.0,9600.0,,1.0,F,1,,0.0,452.0,451.0,468.0,,,2,414,414
241,Male,43,0,0,4,0,0,3,-1.0,240.0,240.0,,5916.0,1.0,F,0,,,,,,,,3,241,241
439,Female,39,1,0,1,0,0,0,-1.0,438.0,440.0,9625.0,,1.0,M,0,,,,,,,,1,439,439
342,Male,20,1,0,10,0,1,0,-1.0,341.0,373.0,9528.0,,1.0,F,0,,,,,,,,9,342,342
612,Female,26,1,0,5,0,0,0,-1.0,611.0,611.0,9798.0,,1.0,F,0,,,,,,,,3,612,612
307,Male,21,1,0,3,0,0,1,428.0,735.0,735.0,9186.0,,308.0,F,1,,0.0,733.0,732.0,732.0,,708.0,5,307,307
329,Male,27,1,0,4,0,0,0,-1.0,328.0,328.0,9515.0,,1.0,F,0,,,,,,,,4,329,329
275,Male,23,0,0,6,0,0,3,0.0,275.0,278.0,9462.0,,0.0,M,1,,,401.0,,,,,4,275,275
0,Female,37,1,0,1,0,0,0,0.0,0.0,0.0,9187.0,,0.0,M,0,,,,,,,,1,0,0
576,Male,22,1,0,3,0,0,0,0.0,576.0,575.0,9763.0,,0.0,M,0,,,,,,,,5,576,576
281,Male,41,0,0,4,0,0,0,-1.0,280.0,280.0,9467.0,,1.0,F,0,,,,,,,,2,281,281
302,Female,47,1,0,1,0,0,1,-20.0,282.0,295.0,,5488.0,490.0,F,1,,0.0,516.0,515.0,683.0,,,1,302,302
518,Male,31,0,0,3,0,0,7,22.0,540.0,542.0,9634.0,,71.0,F,1,,0.0,538.0,537.0,539.0,,,2,518,518
